,city
New Delhi,5473
Gurgaon,1118
Noida,1080
Faridabad,251
Ghaziabad,25
Bhubaneshwar,21
Amritsar,21
Ahmedabad,21
Lucknow,21
Guwahati,21
Ludhiana,20
Rest of Hawaii,20
Kochi,20
Kolkata,20
Pocatello,20
Pensacola,20
Mumbai,20
Mangalore,20
Singapore,20
Orlando,20
